,course_id,certificate type,rating,reviews,coursera plus,difficulty
100,101,Beginner,4.8,196000,True,Professional Certificate
101,102,Beginner,4.8,86000,True,Professional Certificate
102,103,Beginner,4.9,29000,True,Specialization
103,104,Beginner,4.7,7800,True,Course
104,105,Beginner,4.6,136000,True,Professional Certificate
105,106,Intermediate,4.8,145000,True,Specialization
106,107,Beginner,4.6,86000,True,Professional Certificate
107,108,Beginner,4.6,77000,True,Professional Certificate
108,109,Beginner,4.8,43000,True,Professional Certificate
109,110,Beginner,4.8,159000,True,Professional Certificate
110,111,Beginner,4.8,119000,True,Professional Certificate
111,112,Beginner,4.8,34000,True,Professional Certificate
112,113,Beginner,4.8,196000,True,Professional Certificate
113,114,Beginner,4.8,86000,True,Professional Certificate
114,115,Beginner,4.9,29000,True,Specialization
115,116,Beginner,4.7,7800,True,Course
116,117,Beginner,4.6,136000,True,Professional Certificate
117,118,Intermediate,4.8,145000,True,Specialization
118,119,Beginner,4.6,86000,True,Professional Certificate
119,120,Beginner,4.6,77000,True,Professional Certificate
120,121,Beginner,4.8,43000,True,Professional Certificate
121,122,Beginner,4.8,159000,True,Professional Certificate
122,123,Beginner,4.8,119000,True,Professional Certificate
123,124,Beginner,4.8,34000,True,Professional Certificate
124,125,Beginner,4.8,196000,True,Professional Certificate
125,126,Beginner,4.8,86000,True,Professional Certificate
126,127,Beginner,4.9,29000,True,Specialization
127,128,Beginner,4.7,7800,True,Course
128,129,Beginner,4.6,136000,True,Professional Certificate
129,130,Intermediate,4.8,145000,True,Specialization
130,131,Beginner,4.6,86000,True,Professional Certificate
131,132,Beginner,4.6,77000,True,Professional Certificate
132,133,Beginner,4.8,43000,True,Professional Certificate
133,134,Beginner,4.8,159000,True,Professional Certificate
134,135,Beginner,4.8,119000,True,Professional Certificate
135,136,Beginner,4.8,34000,True,Professional Certificate
136,137,Beginner,4.8,196000,True,Professional Certificate
137,138,Beginner,4.8,86000,True,Professional Certificate
138,139,Beginner,4.9,29000,True,Specialization
139,140,Beginner,4.7,7800,True,Course
140,141,Beginner,4.6,136000,True,Professional Certificate
141,142,Intermediate,4.8,145000,True,Specialization
142,143,Beginner,4.6,86000,True,Professional Certificate
143,144,Beginner,4.6,77000,True,Professional Certificate
144,145,Beginner,4.8,43000,True,Professional Certificate
145,146,Beginner,4.8,159000,True,Professional Certificate
146,147,Beginner,4.8,119000,True,Professional Certificate
147,148,Beginner,4.8,34000,True,Professional Certificate
148,149,Beginner,4.8,196000,True,Professional Certificate
149,150,Beginner,4.8,86000,True,Professional Certificate
150,151,Beginner,4.9,29000,True,Specialization
151,152,Beginner,4.7,7800,True,Course
152,153,Beginner,4.6,136000,True,Professional Certificate
153,154,Intermediate,4.8,145000,True,Specialization
154,155,Beginner,4.6,86000,True,Professional Certificate
155,156,Beginner,4.6,77000,True,Professional Certificate
156,157,Beginner,4.8,43000,True,Professional Certificate
157,158,Beginner,4.8,159000,True,Professional Certificate
158,159,Beginner,4.8,119000,True,Professional Certificate
159,160,Beginner,4.8,34000,True,Professional Certificate
160,161,Beginner,4.8,196000,True,Professional Certificate
161,162,Beginner,4.8,86000,True,Professional Certificate
162,163,Beginner,4.9,29000,True,Specialization
163,164,Beginner,4.7,7800,True,Course
164,165,Beginner,4.6,136000,True,Professional Certificate
165,166,Intermediate,4.8,145000,True,Specialization
166,167,Beginner,4.6,86000,True,Professional Certificate
167,168,Beginner,4.6,77000,True,Professional Certificate
168,169,Beginner,4.8,43000,True,Professional Certificate
169,170,Beginner,4.8,159000,True,Professional Certificate
